Transaction_ID,Date,Year,Month,Quarter,Region,Customer_ID,Customer_Segment,Department,Product,Units_Sold,Unit_Price,Gross_Revenue,Discount,Net_Revenue,COGS,Marketing_Expense,Operating_Expense,Total_Expense,Profit,Profit_Margin,Payment_Method,Payment_Status,Budget_Target,Variance_vs_Budget
TXN-00001,2023-08-17,2023,Aug,Q3,Dubai,CUST-0048,SME,Marketing,Software Subscription,24,"1,116.01","26,784.24","1,076.14","25,708.10","15,615.89","1,557.96","4,267.12","21,440.97","4,267.13",16.60%,Online,Paid,"23,293.64","2,414.46"
TXN-00002,2023-02-24,2023,Feb,Q1,Abu Dhabi,CUST-0111,Retail,Sales,Data Analytics Package,7,"4,540.88","31,786.16","1,873.05","29,913.11","12,705.73",609.93,"4,629.25","17,944.91","11,968.20",40.01%,Bank Transfer,Paid,"32,588.59","-2,675.48"
TXN-00003,2025-02-17,2025,Feb,Q1,Ras Al Khaimah,CUST-0151,Hospitality,Logistics,Consulting Service,6,"4,056.49","24,338.94","1,175.52","23,163.42","11,063.81","1,477.45","2,772.88","15,314.14","7,849.28",33.89%,Cash,Paid,"27,146.02","-3,982.60"
TXN-00004,2024-01-29,2024,Jan,Q1,Umm Al Quwain,CUST-0187,SME,Operations,Consulting Service,1,"3,795.77","3,795.77",234.75,"3,561.02","1,757.97",253.97,579.17,"2,591.11",969.91,27.24%,Cash,Paid,"3,539.79",21.23
TXN-00005,2024-03-05,2024,Mar,Q1,Fujairah,CUST-0353,Hospitality,Marketing,Cloud Support,23,"2,150.39","49,458.97","4,807.67","44,651.30","27,375.52","1,351.52","6,464.90","35,191.94","9,459.36",21.18%,Cash,Paid,"41,481.98","3,169.32"
TXN-00006,2023-04-25,2023,Apr,Q2,Ajman,CUST-0203,Government,Marketing,Data Analytics Package,1,"5,710.09","5,710.09",229.07,"5,481.02","2,002.19",409.92,678.19,"3,090.30","2,390.72",43.62%,Cash,Paid,"6,003.77",-522.75
TXN-00007,2023-10-13,2023,Oct,Q4,Umm Al Quwain,CUST-0025,Corporate,Marketing,Data Analytics Package,5,"5,594.03","27,970.15","1,198.34","26,771.81","10,887.63","1,116.91","4,809.62","16,814.16","9,957.65",37.19%,Credit Card,Paid,"24,670.21","2,101.60"
TXN-00008,2025-05-14,2025,May,Q2,Fujairah,CUST-0454,Hospitality,Logistics,Consulting Service,7,"3,404.27","23,829.89","1,899.00","21,930.89","9,926.37","1,716.41","3,550.64","15,193.42","6,737.47",30.72%,Cash,Paid,"19,374.72","2,556.17"
TXN-00009,2024-11-27,2024,Nov,Q4,Dubai,CUST-0446,Retail,Logistics,Consulting Service,5,"3,478.67","17,393.35",631.34,"16,762.01","8,227.52","1,216.10","1,412.04","10,855.66","5,906.35",35.24%,Online,Paid,"17,267.82",-505.81
TXN-00010,2024-02-12,2024,Feb,Q1,Sharjah,CUST-0450,Retail,Marketing,Training Program,12,"1,012.50","12,150.00",786.41,"11,363.59","6,238.35",588.88,569.02,"7,396.25","3,967.34",34.91%,Bank Transfer,Paid,"11,105.03",258.56
